X3DAudio1_7.dll                  0x000000690000
MSVCP110.dll                     0x0000006A0000
MSVCR110.dll                     0x000000750000
flexRelease_x64.dll              0x000000830000
cudart64_75.dll                  0x000000980000
flexExtRelease_x64.dll           0x0000009E0000
nvToolsExt64_1.dll               0x000000A40000
GFSDK_SSAO_D3D11.win64.dll       0x000000A50000
GFSDK_GodraysLib.x64.dll         0x000000AE0000
f4se_steam_loader.dll            0x0000013A0000
usvfs_x64.dll                    0x0000013E0000
f4se_1_10_163.dll                0x000001D70000
AmmoRemover.dll                  0x000001E50000
BetterConsole.dll                0x000001E80000
BetterPowerArmorRedux.dll        0x000001EF0000
Buffout4.dll                     0x000001F50000
CRYPT32.dll                      0x0000022B0000
BulletCountedReload.dll          0x000003DB0000
CCExtenderF4.dll                 0x000003E40000
crafting_highlight_fix.dll       0x0000056E0000
encounter_zone_recalculation.dll 0x000005730000
faster_workshop.dll              0x000005760000
GCBugFix.dll                     0x0000057C0000
HighFPSPhysicsFix.dll            0x000007350000
Interior-NavCut-Fix.dll          0x0000073E0000
mcm.dll                          0x000008C60000
MGEFConditionFix.dll             0x000008D00000
Outfit-ReDress-Fix.dll           0x00000A580000
place.dll                        0x00000BE00000
PowerGridTools.dll               0x00000BE80000
ReloadFix.dll                    0x00000BEF0000
RememberPickAngleUpdated.dll     0x00000D770000
RobCo_Patcher.dll                0x00000DFA0000
ShadowBoostFO4.dll               0x00000F8B0000
SprintSpeedController.dll        0x0000111E0000
SprintStutteringFix.dll          0x000012A60000
terminal+.dll                    0x000012A80000
transfer_settlements.dll         0x000012BD0000
UnlimitedSurvivalMode.dll        0x000012EA0000
WeaponDebrisCrashFix.dll         0x000013EC0000
WhoseQuestIsItAnywayF4.dll       0x000013EE0000
wsfw_identifier.dll              0x000015770000
XDI.dll                          0x000015870000
wbemprox.dll                     0x000015F90000
secur32.dll                      0x000015FD0000
Kerberos.dll                     0x000015FF0000
rsaenh.dll                       0x000016000000
gameoverlayrenderer64.dll        0x0000191B0000
XAudio2_7.dll                    0x00003B330000
steam_api64.dll                  0x00003B400000
opengl32.dll                     0x00007A800000
kernelbase.dll                   0x00007B000000
kernel32.dll                     0x00007B600000
steamclient64.dll                0x000138000000
Fallout4.exe                     0x000140000000
ntdll.dll                        0x000170000000
bink2w64.dll                     0x000180000000
oleaut32.dll                     0x0001D0E20000
ADVAPI32.dll                     0x0001D8C90000
sechost.dll                      0x0001EAF60000
WINHTTP.dll                      0x0001EFE00000
ole32.dll                        0x00020B860000
mmdevapi.dll                     0x00020F400000
user32.dll                       0x0002169D0000
COMDLG32.dll                     0x000222ED0000
winspool.drv                     0x000223D50000
msvcrt.dll                       0x000228280000
SHELL32.dll                      0x00023BC00000
dbghelp.dll                      0x00023ECB0000
winex11.drv                      0x000251D80000
xinput1_4.dll                    0x000259D90000
schannel.dll                     0x00025C0B0000
version.dll                      0x00025DC30000
vcruntime140.dll                 0x0002605D0000
PSAPI.DLL                        0x000267930000
nsi.dll                          0x00026C190000
uxtheme.dll                      0x00026C230000
D3DCOMPILER_47.dll               0x00027CF30000
WINMM.dll                        0x0002945E0000
dnsapi.dll                       0x000296590000
MSVCP140_ATOMIC_WAIT.dll         0x00029EF90000
shlwapi.dll                      0x0002A2380000
VCRUNTIME140_1.dll               0x0002AC810000
gdi32.dll                        0x0002BB0A0000
shcore.dll                       0x0002BDE30000
win32u.dll                       0x0002C73A0000
ucrtbase.dll                     0x0002C7470000
winevulkan.dll                   0x0002D4AD0000
libvkd3d-1.dll                   0x0002D64D0000
hid.dll                          0x0002E0D50000
XINPUT1_3.dll                    0x0002E99A0000
winepulse.drv                    0x0002EB230000
jsproxy.dll                      0x0002EB680000
dxgi.dll                         0x0002EDF00000
bcrypt.dll                       0x0002EE630000
comctl32.dll                     0x0002FB3C0000
concrt140.dll                    0x0002FBA30000
libvkd3d-shader-1.dll            0x0002FCA80000
compstui.dll                     0x000313390000
avrt.dll                         0x00031B140000
MSVCP140.dll                     0x00031BEF0000
combase.dll                      0x00031C5D0000
DSOUND.DLL                       0x000343520000
msacm32.dll                      0x000351A60000
d3d11.dll                        0x000359050000
wined3d.dll                      0x000367600000
rpcrt4.dll                       0x000368420000
setupapi.dll                     0x00036D860000
ws2_32.dll                       0x000370F70000
imm32.dll                        0x000393730000
IPHLPAPI.DLL                     0x0003982D0000
lsteamclient.dll                 0x7FCBCA780000
